playerId,name,I_F_flurryAdjustedxGoals,games_played
8445550,Rob Blake,19.87,142
8445735,Rod Brind'Amour,24.25,159
8445739,Patrice Brisebois,3.46,62
8446053,Chris Chelios,0.61,35
8446485,Kris Draper,19.6,206
8446788,Sergei Fedorov,8.88,52
8447958,Bobby Holik,5.14,62
8448208,Jaromir Jagr,121.64,459
8448772,Claude Lemieux,0.81,18
8449645,Mike Modano,29.02,178
8449895,Owen Nolan,30.27,132
8449924,Teppo Numminen,0.8,57
8450725,Mark Recchi,47.99,242
8450824,Luke Richardson,0,2
8450900,Gary Roberts,4.55,30
8450978,Jeremy Roenick,4.74,42
8451101,Joe Sakic,3.73,15
8451224,Mathieu Schneider,9.55,92
8451302,Brendan Shanahan,6.32,34
8451359,Mike Sillinger,1.62,7
8451774,Mats Sundin,9.56,40
8455919,Craig Conroy,16.39,162
8456283,Adam Foote,2.94,156
8456464,Bill Guerin,40.86,155
8456547,Bret Hedican,1.85,51
8456588,Jamie Heward,0.21,13
8456850,Ken Klee,1.26,70
8456887,Vyacheslav Kozlov,26.98,137
8456966,Robert Lang,23.56,114
8457063,Nicklas Lidstrom,37.21,311
8457261,Brad May,4.89,98
8457981,Teemu Selanne,107.81,384
8458172,Darryl Sydor,4.02,120
8458229,Keith Tkachuk,35.85,146
8458361,Doug Weight,15.41,106
8458494,Sergei Zubov,0.88,10
8458517,Scott Niedermayer,22.38,162
8458519,Aaron Ward,3.32,140
8458520,Peter Forsberg,0.13,2
8458525,Brian Rolston,53.16,279
8458527,Philippe Boucher,2.67,41
8458529,Alex Kovalev,59.4,243
8458530,Markus Naslund,21.8,82
8458536,Dean McAmmond,16.25,124
8458537,Ray Whitney,96.44,419
8458541,Steve Staios,9.77,242
8458543,Jassen Cullimore,2.23,104
8458573,Michael Nylander,9.7,72
8458590,Mike Knuble,76.71,330
8458637,Sean O'Donnell,5.22,292
8458938,Roman Hamrlik,17.85,319
8458943,Cory Stillman,37.16,186
8458951,Sergei Gonchar,32.75,396
8458954,Jason Smith,1.57,63
8458976,Michael Peca,5.26,71
8458982,Darren McCarty,0.29,13
8459001,Kirk Maltby,9.52,129
8459004,Craig Rivet,8.4,179
8459024,Jere Lehtinen,20.83,105
8459053,Adrian Aucoin,20.02,337
8459064,Derek Armstrong,4.16,62
8459094,Ian Laperriere,9.68,156
8459122,Stephane Yelle,10.59,145
8459246,Donald Brashear,4.59,99
8459406,Bryan Helmer,0.31,12
8459424,Chris Pronger,23.46,227
8459425,Chris Gratton,1.22,24
8459426,Paul Kariya,20.6,86
8459427,Rob Niedermayer,25.47,221
8459428,Viktor Kozlov,14.42,67
8459429,Jason Arnott,69.63,273
8459433,Brendan Witt,2.65,106
8459441,Landon Wilson,2.36,27
8459442,Saku Koivu,75.29,397
8459443,Anders Eriksson,0.38,20
8459444,Todd Bertuzzi,72.93,365
8459450,Shean Donovan,8.37,95
8459454,Jay Pandolfo,14.62,193
8459457,Jamie Langenbrunner,62.5,306
8459461,Brendan Morrison,36.8,260
8459462,Bryan McCabe,21.67,218
8459479,Ville Peltonen,11.15,79
8459492,Vinny Prospal,62.82,316
8459493,Marek Malik,1.84,42
8459514,Jamal Mayers,23.67,319
8459534,Miroslav Satan,18.86,103
8459547,Scott Walker,13.18,82
8459574,Darcy Tucker,16.55,134
8459587,Todd Marchant,21.83,229
8459596,Andrew Brunette,63.16,322
8459628,Hal Gill,6.37,319
8459640,Mike Grier,27.82,208
8459648,Pavol Demitra,20.58,96
8459670,Kimmo Timonen,35.71,455
8459687,Scott Nichol,18.6,287
8460105,Radek Bonk,10.36,66
8460254,Greg De Vries,1.33,71
8460465,Petr Sykora,36.65,172
8460492,Ed Jovanovski,22.47,306
8460496,Ryan Smyth,115.25,427
8460500,Nolan Baumgartner,0.75,12
8460502,Wade Belak,3.16,107
8460503,Mattias Ohlund,11.19,220
8460504,Ethan Moreau,29.61,218
8460507,Wayne Primeau,8.47,83
8460527,Ryan Johnson,4.98,153
8460533,Dave Scatchard,3.2,24
8460540,Mathieu Dandenault,3.53,41
8460541,Richard Park,29.22,205
8460542,Patrik Elias,113.03,495
8460555,Jason Strudwick,3.03,186
8460556,Freddy Modin,22.14,134
8460561,Sheldon Souray,29.12,226
8460562,Chris Drury,44.47,182
8460567,Chris Clark,19.71,158
8460577,Milan Hejduk,73.91,319
8460580,Brad Lukowich,1.67,76
8460621,Daniel Alfredsson,95.3,393
8460626,Bryce Salvador,7.23,331
8460639,Andre Roy,1.78,43
8460661,Shane Hnidy,4.66,137
8460719,Steve Sullivan,56.76,288
8460720,Eric Boulton,18.33,312
8460735,Richard Zednik,17.45,70
8460743,Tomas Holmstrom,58.79,267
8460770,Kim Johnsson,11.13,141
8462033,Wade Redden,10.69,185
8462036,Daymond Langkow,43.03,221
8462038,Shane Doan,171.96,655
8462041,Radek Dvorak,51.49,365
8462042,Jarome Iginla,199.71,692
8462045,Jay McKee,2.41,130
8462050,Denis Gauthier,1.14,65
8462060,Georges Laraque,1.92,61
8462077,Jochen Hecht,56.75,285
8462093,Peter Schaefer,1.29,16
8462115,Daniel Tjarnqvist,0.7,37
8462118,Marc Savard,33.4,147
8462129,Michal Handzus,58.93,410
8462176,Brent Sopel,3.77,164
8462196,Stephane Robidas,33.07,447
8462209,P.J. Axelsson,9.28,74
8462225,Filip Kuba,19.53,305
8462535,Jody Shelley,11.33,215
8462823,Glen Metropolit,20.17,145
8464956,Chris Phillips,22.74,480
8464957,J-P Dumont,39.77,226
8464960,Boyd Devereaux,2.67,23
8464962,Ruslan Salei,8.78,159
8464966,Derek Morris,20.48,389
8464967,Marty Reasoner,44.72,333
8464975,Daniel Briere,105.31,411
8464977,Dainius Zubrus,74.76,522
8464979,Marco Sturm,36.87,177
8464981,Cory Sarich,10.83,352
8464983,Dan Lacouture,0.32,11
8464984,Josh Green,1.96,19
8464989,Matt Cullen,148.18,785
8464994,Steve Begin,19.22,177
8465005,Colin White,4.77,275
8465009,Zdeno Chara,99.92,992
8465012,Tom Poti,7.9,159
8465024,Jon Sim,26.78,159
8465025,Arron Asham,25.46,291
8465026,Mark Parrish,8.16,62
8465028,Boyd Kane,0.25,4
8465041,Craig MacDonald,0.3,8
8465042,Toni Lydman,12.44,334
8465050,Eric Belanger,51.49,342
8465056,Trent Whitfield,1.36,20
8465058,Michal Rozsival,20.59,484
8465059,Matt Bradley,24.68,264
8465067,Jesse Boulerice,0,2
8465113,Brian Willsie,4.57,47
8465122,Brett Clark,17.93,312
8465166,Craig Adams,36.98,488
8465170,Fernando Pisani,15.86,138
8465175,Dan Hinote,2.15,51
8465185,Willie Mitchell,18.01,450
8465192,Samuel Pahlsson,30.22,305
8465200,Tomas Kaberle,24.13,302
8465202,Sami Salo,24.12,340
8465210,Pavel Kubina,22.73,305
8465914,Francis Bouillon,13.88,345
8465951,Matt Cooke,70.42,462
8465968,Brett McLean,9.65,80
8465978,Shawn Thornton,53.92,566
8465992,Aaron Downey,0.12,4
8466035,Sergei Samsonov,44.26,230
8466138,Joe Thornton,162.89,958
8466139,Patrick Marleau,316.38,982
8466140,Olli Jokinen,121.23,508
8466142,Eric Brewer,23.76,414
8466144,Paul Mara,8.65,171
8466145,Nick Boynton,6.45,168
8466147,Jason Ward,0.27,1
8466148,Marian Hossa,199.79,607
8466149,Daniel Cleary,88.9,397
8466158,Scott Hannan,15.95,465
8466160,Brenden Morrow,86.33,417
8466181,Kristian Huselius,44.81,188
8466182,Henrik Tallinder,13.14,358
8466202,Maxim Afinogenov,26.89,130
8466203,Josef Melichar,0.44,39
8466212,Francis Lessard,0.54,24
8466215,Joe Corvo,39.06,354
8466216,Adam Mair,17.9,209
8466232,Quintin Laing,2.82,37
8466251,Jason Chimera,115.31,734
8466260,Kyle Calder,11.46,88
8466266,Mike York,0.03,1
8466285,Brian Campbell,47.89,671
8466292,Todd Fedoruk,7.64,122
8466300,Ben Guite,5.26,56
8466309,Mike Mottau,7.53,222
8466333,Andrew Ference,19.01,435
8466371,John Madden,32.26,262
8466378,Martin St. Louis,161.51,526
8466392,Todd White,27.02,165
8466393,Pascal Dupuis,90,435
8466398,Tom Kostopoulos,39.61,331
8466399,Eric Perrin,11.03,78
8467096,Dan Boyle,85.48,569
8467304,Andy Sutton,6.37,185
8467329,Vincent Lecavalier,144.25,502
8467330,David Legwand,101.67,587
8467331,Brad Stuart,27.29,476
8467332,Bryan Allen,11.23,350
8467334,Manny Malhotra,46.49,434
8467335,Mark Bell,0,5
8467336,Mike Rupp,21.49,346
8467338,Alex Tanguay,79.53,479
8467343,Martin Skoula,3.58,133
8467344,Robyn Regehr,13.48,497
8467346,Simon Gagne,80.03,295
8467348,Christian Backman,2.66,56
8467350,Mike Van Ryn,2.86,27
8467351,Scott Gomez,74.82,450
8467353,Nik Antropov,69.21,341
8467354,Dmitri Kalinin,3.26,72
8467355,Andrew Peters,1.22,57
8467357,Jonathan Cheechoo,21.73,127
8467361,Blair Betts,18.89,219
